name,file_path,start_line,complexity,method,oom
_GetSubList,./third_party/cpython/Lib/idlelib/debugobj_r.py,19,O(1),numeric,False
__GetRawExtensionKeys,./third_party/cpython/Lib/idlelib/config.py,490,O(n),numeric,False
__add__,./third_party/cpython/Lib/_pydecimal.py,1108,O(1),llm,False
__add__,./third_party/cpython/Lib/xml/dom/minicompat.py,77,O(n),numeric,False
__add__,./third_party/cpython/Lib/email/_parseaddr.py,527,O(n^2),numeric,False
__aexit__,./third_party/cpython/Lib/contextlib.py,716,O(n),numeric,False
__anext__,./third_party/cpython/Lib/asyncio/streams.py,783,O(n),numeric,False
__annotate__,./third_party/cpython/Lib/typing.py,3122,Unknown,numeric,False
__bytes__,./third_party/cpython/Lib/wsgiref/headers.py,141,Unknown,numeric,False
__calc_am_pm,./third_party/cpython/Lib/_strptime.py,109,O(n),numeric,False
__calc_date_time,./third_party/cpython/Lib/_strptime.py,122,Unknown,numeric,False
__calc_month,./third_party/cpython/Lib/_strptime.py,102,O(n),numeric,False
__calc_timezone,./third_party/cpython/Lib/_strptime.py,255,O(n),numeric,False
__calc_weekday,./third_party/cpython/Lib/_strptime.py,94,O(n),numeric,False
__call__,./third_party/cpython/Lib/_sitebuiltins.py,67,Unknown,numeric,False
__call__,./third_party/cpython/Lib/weakref.py,485,Unknown,numeric,False
__call__,./third_party/cpython/Lib/annotationlib.py,455,O(n),numeric,False
__call__,./third_party/cpython/Lib/functools.py,380,O(n),numeric,False
__call__,./third_party/cpython/Lib/codeop.py,112,Unknown,numeric,False
__call__,./third_party/cpython/Lib/argparse.py,956,O(n log n),numeric,True
__call__,./third_party/cpython/Lib/argparse.py,1289,Unknown,numeric,False
__call__,./third_party/cpython/Lib/argparse.py,1327,O(n log n),numeric,True
__call__,./third_party/cpython/Lib/argparse.py,1366,Unknown,numeric,False
__call__,./third_party/cpython/Lib/enum.py,1935,Unknown,numeric,False
__chain_b,./third_party/cpython/Lib/difflib.py,266,O(n),numeric,False
__contains__,./third_party/cpython/Lib/shelve.py,101,O(n log n),numeric,True
__contains__,./third_party/cpython/Lib/mailbox.py,1141,Unknown,numeric,False
__contains__,./third_party/cpython/Lib/importlib/metadata/_text.py,82,O(n),numeric,False
__contains__,./third_party/cpython/Lib/email/message.py,455,O(n),numeric,False
__contains__,./third_party/cpython/Lib/dbm/dumb.py,251,O(n),numeric,True
__contains__,./third_party/cpython/PC/layout/support/filesets.py,27,O(n),numeric,False
__contains__,./third_party/cpython/PC/layout/support/filesets.py,61,O(n^2),numeric,True
__convert_to_ast,./third_party/cpython/Lib/annotationlib.py,342,O(1),numeric,True
__convert_to_ast_getitem,./third_party/cpython/Lib/annotationlib.py,385,Unknown,numeric,False
__copy__,./third_party/cpython/Lib/_pydecimal.py,3698,O(1),numeric,False
__copy__,./third_party/cpython/Lib/xml/etree/ElementTree.py,192,O(n),numeric,False
__create_handler,./third_party/cpython/Lib/idlelib/multicall.py,161,O(n log n),numeric,True
__deepcopy__,./third_party/cpython/Lib/weakref.py,151,Unknown,numeric,False
__deepcopy__,./third_party/cpython/Lib/weakref.py,347,Unknown,numeric,False
__deepcopy__,./third_party/cpython/Lib/_pydecimal.py,3703,O(n),numeric,False
__del__,./third_party/cpython/Lib/threading.py,1415,Unknown,numeric,False
__del__,./third_party/cpython/Lib/tempfile.py,770,O(n),numeric,False
__del__,./third_party/cpython/Lib/asyncio/unix_events.py,911,Unknown,numeric,False
__del__,./third_party/cpython/Lib/idlelib/multicall.py,402,Unknown,numeric,False
__delitem__,./third_party/cpython/Lib/shelve.py,127,O(n log n),numeric,True
__delitem__,./third_party/cpython/Lib/configparser.py,1393,O(n),numeric,False
__delitem__,./third_party/cpython/Lib/mailbox.py,50,Unknown,numeric,False
__delitem__,./third_party/cpython/Lib/wsgiref/headers.py,58,O(n),numeric,False
__delitem__,./third_party/cpython/Lib/email/message.py,443,O(n^2),numeric,True
__delitem__,./third_party/cpython/Lib/dbm/dumb.py,226,Unknown,numeric,False
__dict_replace,./third_party/cpython/Lib/xml/sax/saxutils.py,12,O(n^2),numeric,False
__dir__,./third_party/cpython/Lib/typing.py,1269,O(n),numeric,False
__dir__,./third_party/cpython/Lib/enum.py,752,O(n),numeric,False
__dir__,./third_party/cpython/Lib/enum.py,1266,O(n),numeric,False
__dir__,./third_party/cpython/Tools/c-analyzer/c_analyzer/info.py,163,Unknown,numeric,False
__dump,./third_party/cpython/Lib/xmlrpc/client.py,494,O(n),numeric,False
__enter__,./third_party/cpython/Lib/_py_warnings.py,636,Unknown,numeric,False
__enter__,./third_party/cpython/Lib/imaplib.py,1434,Unknown,numeric,False
__enter__,./third_party/cpython/Lib/multiprocessing/managers.py,646,Unknown,numeric,False
__eq__,./third_party/cpython/Lib/_weakrefset.py,117,O(n),numeric,False
__eq__,./third_party/cpython/Lib/annotationlib.py,262,O(n),numeric,False
__eq__,./third_party/cpython/Lib/typing.py,1676,O(n),numeric,False
__eq__,./third_party/cpython/Lib/_collections_abc.py,819,O(n),numeric,False
__eq__,./third_party/cpython/Lib/importlib/metadata/_text.py,73,Unknown,numeric,False
__eq__,./third_party/cpython/Lib/email/charset.py,242,Unknown,numeric,False
__eq__,./third_party/cpython/Lib/email/header.py,255,Unknown,numeric,False
__eq__,./third_party/cpython/Tools/c-analyzer/c_parser/info.py,232,O(n log n),numeric,True
__exit__,./third_party/cpython/Lib/_py_warnings.py,665,Unknown,numeric,False
__exit__,./third_party/cpython/Lib/contextlib.py,407,O(log n),numeric,False
__exit__,./third_party/cpython/Lib/contextlib.py,450,O(n),numeric,False
__exit__,./third_party/cpython/Lib/contextlib.py,571,Unknown,numeric,False
__exit__,./third_party/cpython/Lib/contextlib.py,813,O(n),numeric,False
__exit__,./third_party/cpython/Lib/imaplib.py,1477,O(n log n),numeric,True
__exit__,./third_party/cpython/Lib/importlib/_bootstrap.py,173,O(n),numeric,False
__find_month_format,./third_party/cpython/Lib/_strptime.py,193,O(n),numeric,False
__find_weekday_format,./third_party/cpython/Lib/_strptime.py,227,Unknown,numeric,False
__float__,./third_party/cpython/Lib/_pydecimal.py,1561,Unknown,numeric,False
__format__,./third_party/cpython/Lib/ipaddress.py,616,Unknown,numeric,False
__format__,./third_party/cpython/Lib/_pydecimal.py,3710,Unknown,numeric,False
__format__,./third_party/cpython/Lib/_pydatetime.py,1126,Unknown,numeric,False
__format__,./third_party/cpython/Lib/_pydatetime.py,1672,Unknown,numeric,False
__format__,./third_party/cpython/Lib/enum.py,1295,Unknown,numeric,False
__forward_code__,./third_party/cpython/Lib/annotationlib.py,245,Unknown,numeric,False
__forwardmethods,./third_party/cpython/Lib/turtle.py,306,O(n),numeric,False
__getattr__,./third_party/cpython/Lib/calendar.py,46,Unknown,numeric,False
__getattr__,./third_party/cpython/Lib/imaplib.py,275,Unknown,numeric,False
__getattr__,./third_party/cpython/Lib/idlelib/debugger_r.py,206,O(n),numeric,False
__getattr__,./third_party/cpython/Tools/c-analyzer/c_analyzer/info.py,169,O(n),numeric,False
__getattribute__,./third_party/cpython/Lib/importlib/util.py,171,Unknown,numeric,False
__getitem__,./third_party/cpython/Lib/platform.py,914,Unknown,numeric,False
__getitem__,./third_party/cpython/Lib/tracemalloc.py,203,O(n),numeric,False
__getitem__,./third_party/cpython/Lib/tracemalloc.py,320,O(log n),numeric,False
__getitem__,./third_party/cpython/Lib/shelve.py,109,O(n),numeric,False
__getitem__,./third_party/cpython/Lib/annotationlib.py,433,O(n),numeric,False
__getitem__,./third_party/cpython/Lib/selectors.py,73,O(n),numeric,False
__getitem__,./third_party/cpython/Lib/typing.py,1523,O(n^2),numeric,True
__getitem__,./third_party/cpython/Lib/typing.py,1592,O(n),numeric,False
__getitem__,./third_party/cpython/Lib/typing.py,1622,O(n),numeric,False
__getitem__,./third_party/cpython/Lib/_collections_abc.py,499,O(n),numeric,False
__getitem__,./third_party/cpython/Lib/email/headerregistry.py,590,Unknown,numeric,False
__getitem__,./third_party/cpython/Lib/dbm/dumb.py,146,Unknown,numeric,False
__getitem__,./third_party/cpython/Tools/c-analyzer/c_parser/info.py,1498,Unknown,numeric,False
__getitem__,./third_party/cpython/Tools/c-analyzer/c_analyzer/info.py,301,Unknown,numeric,False
__getitem_inner__,./third_party/cpython/Lib/typing.py,1607,O(n),numeric,False
__getnewargs__,./third_party/cpython/Lib/codecs.py,114,O(log n),numeric,False
__getnewargs__,./third_party/cpython/Lib/email/_header_value_parser.py,925,Unknown,numeric,False
__getslice__,./third_party/cpython/Lib/multiprocessing/sharedctypes.py,234,O(1),llm,False
__getstate__,./third_party/cpython/Lib/_pyio.py,880,O(n),numeric,True
__gt__,./third_party/cpython/Lib/_weakrefset.py,114,O(n),numeric,False
__gt__,./third_party/cpython/Lib/importlib/metadata/_text.py,70,Unknown,numeric,False
__gt__,./third_party/cpython/Tools/c-analyzer/c_parser/info.py,239,O(n log n),numeric,True
__hash__,./third_party/cpython/Lib/ipaddress.py,607,O(1),numeric,False
__hash__,./third_party/cpython/Lib/ipaddress.py,731,O(n),numeric,False
__hash__,./third_party/cpython/Lib/ipaddress.py,1458,Unknown,numeric,False
__hash__,./third_party/cpython/Lib/ipaddress.py,1992,Unknown,numeric,False
__hash__,./third_party/cpython/Lib/ipaddress.py,2235,O(n),numeric,False
__hash__,./third_party/cpython/Lib/doctest.py,525,O(n),numeric,False
__hash__,./third_party/cpython/Lib/doctest.py,589,Unknown,numeric,False
__hash__,./third_party/cpython/Lib/doctest.py,2426,O(n),numeric,False
__hash__,./third_party/cpython/Lib/tracemalloc.py,42,O(n),numeric,False
__hash__,./third_party/cpython/Lib/tracemalloc.py,84,O(n),numeric,False
__hash__,./third_party/cpython/Lib/tracemalloc.py,169,O(n),numeric,False
__hash__,./third_party/cpython/Lib/tracemalloc.py,212,O(n),numeric,False
__hash__,./third_party/cpython/Lib/tracemalloc.py,300,O(log n),numeric,False
__hash__,./third_party/cpython/Lib/uuid.py,319,O(1),llm,False
__hash__,./third_party/cpython/Lib/annotationlib.py,280,O(n),numeric,False
__hash__,./third_party/cpython/Lib/plistlib.py,101,Unknown,numeric,False
__hash__,./third_party/cpython/Lib/statistics.py,1427,O(1),numeric,False
__hash__,./third_party/cpython/Lib/typing.py,1331,O(n),numeric,False
__hash__,./third_party/cpython/Lib/typing.py,1652,O(n),numeric,False
__hash__,./third_party/cpython/Lib/typing.py,1682,O(n),numeric,False
__hash__,./third_party/cpython/Lib/typing.py,2139,O(n),numeric,False
__hash__,./third_party/cpython/Lib/_pydatetime.py,947,O(1),llm,False
__hash__,./third_party/cpython/Lib/_pydatetime.py,1224,O(n),numeric,False
__hash__,./third_party/cpython/Lib/_pydatetime.py,1567,O(1),numeric,False
__hash__,./third_party/cpython/Lib/_pydatetime.py,2367,O(1),numeric,False
__hash__,./third_party/cpython/Lib/_pydatetime.py,2478,O(n),numeric,False
__hash__,./third_party/cpython/Lib/inspect.py,2788,O(n),numeric,False
__hash__,./third_party/cpython/Lib/inspect.py,3066,O(n),numeric,False
__hash__,./third_party/cpython/Lib/enum.py,1298,O(n),numeric,False
__hash__,./third_party/cpython/Lib/asyncio/events.py,162,Unknown,numeric,False
__hash__,./third_party/cpython/Lib/importlib/_bootstrap_external.py,930,O(n),numeric,False
__hash__,./third_party/cpython/Lib/importlib/_bootstrap_external.py,1051,Unknown,numeric,False
__hash__,./third_party/cpython/Lib/importlib/metadata/_text.py,79,Unknown,numeric,False
__hash__,./third_party/cpython/Lib/xml/etree/ElementTree.py,492,Unknown,numeric,False
__hash__,./third_party/cpython/Tools/unicode/dawg.py,53,O(n),numeric,False
__hash__,./third_party/cpython/Tools/c-analyzer/c_parser/info.py,577,Unknown,numeric,False
__hash__,./third_party/cpython/Tools/c-analyzer/c_analyzer/info.py,140,O(n),numeric,False
__hash__,./third_party/cpython/Tools/ssl/multissltests.py,196,Unknown,numeric,False
__iadd__,./third_party/cpython/Lib/_collections_abc.py,1126,O(n log n),numeric,False
__iand__,./third_party/cpython/Lib/_weakrefset.py,99,O(n),numeric,False
__idents_matching,./third_party/cpython/Lib/symtable.py,188,O(1),numeric,False
__import__,./third_party/cpython/Lib/importlib/_bootstrap.py,1465,O(n log n),numeric,True
__init_subclass__,./third_party/cpython/Lib/typing.py,2083,Unknown,numeric,False
__instancecheck__,./third_party/cpython/Lib/_py_abc.py,92,O(n),numeric,False
__int__,./third_party/cpython/Lib/_pydecimal.py,1571,O(n),numeric,False
__ior__,./third_party/cpython/Lib/_weakrefset.py,74,O(n),numeric,True
__ior__,./third_party/cpython/Lib/weakref.py,257,O(n),numeric,True
__ior__,./third_party/cpython/Lib/weakref.py,420,O(n),numeric,True
__ior__,./third_party/cpython/Lib/os.py,750,O(n),numeric,True
__isub__,./third_party/cpython/Lib/_weakrefset.py,86,O(n),numeric,False
__isub__,./third_party/cpython/Lib/email/_parseaddr.py,551,O(n^2),numeric,False
__iter__,./third_party/cpython/Lib/_weakrefset.py,24,O(n),numeric,False
__iter__,./third_party/cpython/Lib/os.py,726,O(n),numeric,False
__iter__,./third_party/cpython/Lib/shelve.py,94,O(n),numeric,False
__iter__,./third_party/cpython/Lib/configparser.py,1047,Unknown,numeric,False
__iter__,./third_party/cpython/Lib/mailbox.py,2032,O(n),numeric,False
__iter__,./third_party/cpython/Lib/wsgiref/validate.py,216,O(n),numeric,False
__iter__,./third_party/cpython/Lib/dbm/sqlite3.py,103,O(n),numeric,False
__iter__,./third_party/cpython/Doc/tools/extensions/audit_events.py,38,Unknown,numeric,False
__iter__,./third_party/cpython/Tools/peg_generator/pegen/grammar.py,60,Unknown,numeric,False
__len__,./third_party/cpython/Lib/platform.py,917,Unknown,numeric,False
__len__,./third_party/cpython/Lib/mailbox.py,1145,O(n),numeric,False
__len__,./third_party/cpython/Lib/email/header.py,555,O(1),numeric,False
__lt__,./third_party/cpython/Lib/_weakrefset.py,107,O(n),numeric,False
__lt__,./third_party/cpython/Lib/pprint.py,99,Unknown,numeric,False
__lt__,./third_party/cpython/Lib/importlib/metadata/_text.py,67,O(n),numeric,False
__make_new,./third_party/cpython/Lib/annotationlib.py,411,O(n),numeric,False
__methodDict,./third_party/cpython/Lib/turtle.py,286,O(n^3),numeric,False
__methods,./third_party/cpython/Lib/turtle.py,296,O(n),numeric,False
__missing__,./third_party/cpython/Lib/urllib/parse.py,894,O(n),numeric,False
__missing__,./third_party/cpython/Lib/email/_encoded_words.py,77,O(n log n),numeric,False
__mro_entries__,./third_party/cpython/Lib/typing.py,1214,O(n),numeric,False
__mro_entries__,./third_party/cpython/Lib/typing.py,1487,Unknown,numeric,False
__mul__,./third_party/cpython/Lib/_pydecimal.py,1218,Unknown,numeric,False
__ne__,./third_party/cpython/Lib/importlib/metadata/_text.py,76,Unknown,numeric,False
__new__,./third_party/cpython/Lib/ast.py,589,Unknown,numeric,False
__new__,./third_party/cpython/Lib/weakref.py,46,Unknown,numeric,False
__new__,./third_party/cpython/Lib/fractions.py,202,Unknown,numeric,False
__new__,./third_party/cpython/Lib/_py_abc.py,35,Unknown,numeric,False
__new__,./third_party/cpython/Lib/typing.py,2898,Unknown,numeric,False
__new__,./third_party/cpython/Lib/typing.py,3033,O(n),numeric,False
__new__,./third_party/cpython/Lib/_pydecimal.py,458,Unknown,numeric,False
__new__,./third_party/cpython/Lib/_pydatetime.py,1001,Unknown,numeric,False
__new__,./third_party/cpython/Lib/_pydatetime.py,1430,Unknown,numeric,False
__new__,./third_party/cpython/Lib/_pydatetime.py,1786,Unknown,numeric,False
__new__,./third_party/cpython/Lib/pstats.py,47,Unknown,numeric,False
__new__,./third_party/cpython/Lib/enum.py,479,Unknown,numeric,False
__new__,./third_party/cpython/Lib/enum.py,1145,O(n log n),numeric,True
__new__,./third_party/cpython/Lib/enum.py,1346,Unknown,numeric,False
__new__,./third_party/cpython/Lib/importlib/metadata/_adapters.py,41,Unknown,numeric,False
__new__,./third_party/cpython/Lib/zoneinfo/_zoneinfo.py,40,Unknown,numeric,False
__new__,./third_party/cpython/Lib/email/headerregistry.py,190,Unknown,numeric,False
__new__,./third_party/cpython/Tools/c-analyzer/c_parser/info.py,219,Unknown,numeric,False
__next__,./third_party/cpython/Lib/csv.py,173,Unknown,numeric,False
__next__,./third_party/cpython/Lib/tempfile.py,153,O(1),numeric,False
__next__,./third_party/cpython/Lib/_pyio.py,552,Unknown,numeric,False
__next__,./third_party/cpython/Lib/_pyio.py,2586,Unknown,numeric,False
__next__,./third_party/cpython/Lib/codecs.py,648,Unknown,numeric,False
__next__,./third_party/cpython/Lib/codecs.py,836,O(n),numeric,False
__next__,./third_party/cpython/Lib/wsgiref/util.py,23,Unknown,numeric,False
__next__,./third_party/cpython/Lib/compression/zstd/_zstdfile.py,249,Unknown,numeric,False
__next__,./third_party/cpython/Lib/email/feedparser.py,129,Unknown,numeric,False
__or__,./third_party/cpython/Lib/weakref.py,261,Unknown,numeric,False
__or__,./third_party/cpython/Lib/weakref.py,424,Unknown,numeric,False
__or__,./third_party/cpython/Lib/os.py,754,O(n),numeric,False
__parse_string,./third_party/cpython/Lib/http/cookies.py,525,Unknown,numeric,False
__patched_linecache_getlines,./third_party/cpython/Lib/doctest.py,1496,O(n^2),numeric,True
__post_init__,./third_party/cpython/Lib/_pyrepl/historical_reader.py,230,Unknown,numeric,False
__post_init__,./third_party/cpython/Lib/_pyrepl/completing_reader.py,244,Unknown,numeric,False
__post_init__,./third_party/cpython/Tools/clinic/libclinic/codegen.py,225,O(n log n),numeric,True
__pow__,./third_party/cpython/Lib/_pydecimal.py,2250,O(1),numeric,False
__radd__,./third_party/cpython/Lib/xml/dom/minicompat.py,82,O(n),numeric,False
__read,./third_party/cpython/Lib/tarfile.py,567,Unknown,numeric,False
__read,./third_party/cpython/Lib/_pyrepl/unix_console.py,213,O(n),numeric,False
__reduce__,./third_party/cpython/Lib/_weakrefset.py,42,O(n),numeric,False
__reduce__,./third_party/cpython/Lib/platform.py,920,O(n),numeric,False
__reduce__,./third_party/cpython/Lib/ipaddress.py,552,Unknown,numeric,False
__reduce__,./third_party/cpython/Lib/ipaddress.py,2003,Unknown,numeric,False
__reduce__,./third_party/cpython/Lib/typing.py,1477,O(n),numeric,False
__reduce__,./third_party/cpython/Lib/typing.py,1580,Unknown,numeric,False
__reduce__,./third_party/cpython/Lib/_collections_abc.py,493,Unknown,numeric,False
__reduce__,./third_party/cpython/Lib/_pydecimal.py,3695,Unknown,numeric,False
__reduce__,./third_party/cpython/Lib/_pydecimal.py,3944,O(n),numeric,False
__reduce__,./third_party/cpython/Lib/_pydatetime.py,1390,Unknown,numeric,False
__reduce__,./third_party/cpython/Lib/inspect.py,3234,O(n log n),numeric,True
__reduce__,./third_party/cpython/Lib/multiprocessing/process.py,354,Unknown,numeric,False
__reduce__,./third_party/cpython/Lib/email/headerregistry.py,213,O(n^3),numeric,False
__repr__,./third_party/cpython/Lib/_py_warnings.py,627,O(n),numeric,False
__repr__,./third_party/cpython/Lib/symtable.py,67,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/symtable.py,292,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/socket.py,247,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/ipaddress.py,601,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/ipaddress.py,674,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/_sitebuiltins.py,60,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/os.py,735,O(n log n),numeric,True
__repr__,./third_party/cpython/Lib/os.py,1154,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/doctest.py,2430,O(n),numeric,False
__repr__,./third_party/cpython/Lib/tracemalloc.py,228,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/operator.py,271,O(log n),numeric,False
__repr__,./third_party/cpython/Lib/operator.py,302,O(n^2),numeric,True
__repr__,./third_party/cpython/Lib/operator.py,329,O(n),numeric,False
__repr__,./third_party/cpython/Lib/gzip.py,263,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/uuid.py,325,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/annotationlib.py,297,O(n),numeric,False
__repr__,./third_party/cpython/Lib/typing.py,1465,O(n^2),numeric,True
__repr__,./third_party/cpython/Lib/typing.py,1571,O(n),numeric,False
__repr__,./third_party/cpython/Lib/typing.py,2122,O(n),numeric,False
__repr__,./third_party/cpython/Lib/subprocess.py,493,O(n),numeric,False
__repr__,./third_party/cpython/Lib/subprocess.py,1076,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/_collections_abc.py,485,O(n),numeric,False
__repr__,./third_party/cpython/Lib/_collections_abc.py,840,O(n),numeric,False
__repr__,./third_party/cpython/Lib/_pydecimal.py,977,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/_pydecimal.py,3951,O(n),numeric,False
__repr__,./third_party/cpython/Lib/tempfile.py,962,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/dis.py,1074,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/_pydatetime.py,770,O(1),numeric,False
__repr__,./third_party/cpython/Lib/_pydatetime.py,1595,O(n),numeric,False
__repr__,./third_party/cpython/Lib/_pydatetime.py,2187,O(1),llm,False
__repr__,./third_party/cpython/Lib/_pyio.py,846,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/_pyio.py,2121,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/configparser.py,1297,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/netrc.py,175,O(n log n),numeric,True
__repr__,./third_party/cpython/Lib/traceback.py,337,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/turtle.py,941,O(n),numeric,False
__repr__,./third_party/cpython/Lib/argparse.py,118,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/argparse.py,1386,O(n),numeric,False
__repr__,./third_party/cpython/Lib/inspect.py,1545,O(n^2),numeric,True
__repr__,./third_party/cpython/Lib/inspect.py,1617,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/inspect.py,2785,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/inspect.py,2925,O(n log n),numeric,True
__repr__,./third_party/cpython/Lib/inspect.py,3242,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/asyncio/windows_events.py,434,O(n),numeric,False
__repr__,./third_party/cpython/Lib/asyncio/unix_events.py,527,O(n),numeric,False
__repr__,./third_party/cpython/Lib/asyncio/unix_events.py,669,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/asyncio/timeouts.py,75,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/asyncio/streams.py,329,O(n),numeric,False
__repr__,./third_party/cpython/Lib/asyncio/streams.py,438,O(n),numeric,False
__repr__,./third_party/cpython/Lib/asyncio/base_subprocess.py,58,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/asyncio/taskgroups.py,41,O(n),numeric,False
__repr__,./third_party/cpython/Lib/asyncio/locks.py,79,O(n),numeric,False
__repr__,./third_party/cpython/Lib/asyncio/locks.py,171,O(n),numeric,False
__repr__,./third_party/cpython/Lib/asyncio/locks.py,241,O(n),numeric,False
__repr__,./third_party/cpython/Lib/asyncio/locks.py,373,O(n),numeric,False
__repr__,./third_party/cpython/Lib/asyncio/locks.py,496,Unknown,numeric,False
__repr__,./third_party/cpython/Lib/asyncio/subprocess.py,30,O(n),numeric,False
